2019/08/11 14:54:46 [error] 24618#24618: *6822 readv() failed (104: Connection reset by peer) while reading upstream, client: 119.160.67.25, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:55:17 [error] 24618#24618: *6830 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.151.239, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:57:17 [error] 24618#24618: *6872 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.229.197.123, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:57:28 [error] 24618#24618: *6882 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.242.141, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:59:11 [error] 24618#24618: *6920 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.180.66, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:14:07 [error] 24618#24618: *7217 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.134.179, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:17:29 [error] 24618#24618: *7273 readv() failed (104: Connection reset by peer) while reading upstream, client: 109.101.34.181, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:33:32 [error] 24618#24618: *7587 readv() failed (104: Connection reset by peer) while reading upstream, client: 102.125.48.83, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:38:43 [error] 24618#24618: *7692 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.90.11, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:39:25 [error] 24618#24618: *7701 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.139.108, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
